
ARCHIVO4-CALERA

"Nombre del computadora:","ARCHIVO4-CALERA"
"Descripción de computadora:","archivo la calera"
"Nombre de marca de computadora:","HP HP ProDesk 400 G3 SFF"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.5487 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","Administrador"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","4"

Intel Core i5-6500

"Nombre del procesador:","Intel Core i5-6500"
"Frecuencia del procesador original:","3200.0 MHz"
"Original Processor Frequency [MHz]:","3200"
"CPU ID:","000506E3"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","R0"
"Nombre del código de la CPU:","Skylake-S"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SR2BX, SR2L6"
"Potencia de diseño térmico de CPU (TDP):","65.0 W"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 65.00 W, Hora = 8.00 sec [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 81.25 W, Hora = 2.44 ms [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H4 (LGA1151)"
"Revisión de actualización de microcódigo:","CC"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","4"
"CPU LFM (mínimo):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (base):","3200.0 MHz = 32 x 100.0 MHz"
"CPU Turbo Max:","3600.0 MHz = 36 x 100.0 MHz [Unlocked]"
"Límites del relación turbo:","36x (1c), 35x (2c), 34x (3c), 33x (4c)"
"CPU actual:","898.5 MHz = 9 x 99.8 MHz @ 0.7795 V"
"LLC / Ring máximo:","3600.0 MHz = 36.00 x 100.0 MHz"
"LLC / Ring actual:","898.5 MHz = 9.00 x 99.8 MHz"
"System Agent actual:","998.3 MHz = 10.00 x 99.8 MHz"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v3.0"
"Velocidad máxima de enlace DMI:","8.0 GT/s"
"Velocidad actual del enlace DMI:","5.0 GT/s"
"Residency State Regulation (RSR):","Deshabilitado"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","36x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","79.00 A"
