
FACTURACIONCALE

"Nombre del computadora:","FACTURACIONCALE"
"Nombre de marca de computadora:","Hewlett-Packard HP Compaq Pro 4300 AiO PC"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.4170 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Deshabilitado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","facturacion cale"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","2"
"Número de procesadores lógicos:","2"

Intel Pentium G2120

"Nombre del procesador:","Intel Pentium G2120"
"Frecuencia del procesador original:","3100.0 MHz"
"Original Processor Frequency [MHz]:","3100"
"CPU ID:","000306A9"
"Nombre de la marca de la CPU:","Intel(R) Pentium(R) CPU G2120 @ 3.10GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","P0"
"Nombre del código de la CPU:","Ivy Bridge-DT"
"Tecnología de CPU:","22 nm"
"CPU S-Spec:","SR0UF"
"Potencia de diseño térmico de CPU (TDP):","55.0 W"
"Corriente de diseño térmico de núcleos de CPU IA (TDC):","112.0 A"
"Corriente de diseño térmico de núcleos de CPU GT (TDC):","46.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = 8.00 sec"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 55.00 W, Hora = 1.00 sec [Bloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 68.75 W, Hora = Ilimitado [Bloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","105 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H2 (LGA1155)"
"Revisión de actualización de microcódigo:","21"
"Número de núcleos de CPU:","2"
"Número de CPU lógicas:","2"
"CPU LFM (mínimo):","1600.0 MHz = 16 x 100.0 MHz"
"CPU HFM (base):","3100.0 MHz = 31 x 100.0 MHz"
"CPU Turbo Max:","3100.0 MHz = 31 x 100.0 MHz [Locked]"
"Límites del relación turbo:","31x (1-4c)"
"CPU actual:","1596.6 MHz = 16 x 99.8 MHz @ 0.8005 V"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v2.0"
"Velocidad máxima de enlace DMI:","5.0 GT/s"
"Velocidad actual del enlace DMI:","5.0 GT/s"
"Caché L1:","Instruction: 2 x 32 KBytes, Data: 2 x 32 KBytes"
"Caché L2:","Integrated: 2 x 256 KBytes"
"Caché L3:","3 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
