
COORDINACION-CA

"Nombre del computadora:","COORDINACION-CA"
"Descripción de computadora:","coordinacion calera"
"Nombre de marca de computadora:","HP HP 240 G7 Notebook PC"
"Sistema operativo:","Microsoft Windows 10 Professional N (x64) Build 19045.4170 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","coordinacion calera"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","8"

Intel Core i5-8265U

"Nombre del procesador:","Intel Core i5-8265U"
"Frecuencia del procesador original:","1800.0 MHz"
"Original Processor Frequency [MHz]:","1800"
"CPU ID:","000806EC"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","V0"
"Nombre del código de la CPU:","Whiskey Lake-U"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SRFA0, SRFA1, SRFFX, SRFFY, SRH7Q, SRH8C"
"Potencia de diseño térmico de CPU (TDP):","15.0 W"
"CPU VR Thermal Design Current (TDC):","48.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):"," (15.00 W) (28.00 sec) [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):"," (31.00 W) (2.44 ms) [Desbloqueado]"
"Límite de potencia de la CPU 4 (PL4):","71.0 W"
"Nivel 1 de TDP configurable (abajo):","10.00 W (Alcance ilimitado), 800 MHz"
"Nivel 2 de TDP configurable (arriba):","25.00 W (Alcance ilimitado), 1800 MHz"
"Nivel de TDP configurable actual:","Nominal (Legacy) [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","BGA1528"
"Revisión de actualización de microcódigo:","CA"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","8"
"CPU MFM (bajo consumo):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (mínimo):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (base):","1800.0 MHz = 18 x 100.0 MHz"
"CPU Turbo Max:","3900.0 MHz = 39 x 100.0 MHz [Unlocked]"
"Límites del relación turbo:","39x (1c), 38x (2c), 37x (3-4c)"
"CPU actual:","3391.7 MHz = 34 x 99.8 MHz @ 1.0488 V"
"LLC / Ring máximo:","3600.0 MHz = 36.00 x 100.0 MHz"
"LLC / Ring actual:","3092.4 MHz = 31.00 x 99.8 MHz"
"System Agent actual:","798.0 MHz = 8.00 x 99.8 MHz"
"Tipo de bus de CPU:","OPI"
"Ring to Core Offset:","Activado"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","39x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","70.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","22x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","31.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","36x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","70.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","22x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
