
ARCHIVO-CALERA

"Nombre del computadora:","ARCHIVO-CALERA"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.4291 (22H2)"
"Arranque UEFI:","No presente"
"Arranque seguro:","No capaz"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","archivo calera"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","2"
"Número de procesadores lógicos:","4"

Intel Core i3-2100

"Nombre del procesador:","Intel Core i3-2100"
"Frecuencia del procesador original:","3100.0 MHz"
"Original Processor Frequency [MHz]:","3100"
"CPU ID:","000206A7"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","Q0"
"Nombre del código de la CPU:","Sandy Bridge-DT"
"Tecnología de CPU:","32 nm"
"CPU S-Spec:","SR05C"
"Potencia de diseño térmico de CPU (TDP):","65.0 W"
"Corriente de diseño térmico de núcleos de CPU IA (TDC):","97.5 A"
"Corriente de diseño térmico de núcleos de CPU GT (TDC):","32.5 A"
"Límites de potencia de la CPU (máx.):","Poder = 84.00 W, Hora = 1.00 sec"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 65.00 W, Hora = 1.00 sec [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 81.25 W, Hora = Ilimitado [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","102 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H2 (LGA1155)"
"Revisión de actualización de microcódigo:","2F"
"Número de núcleos de CPU:","2"
"Número de CPU lógicas:","4"
"CPU LFM (mínimo):","1600.0 MHz = 16 x 100.0 MHz"
"CPU HFM (base):","3100.0 MHz = 31 x 100.0 MHz"
"CPU Turbo Max:","3100.0 MHz = 31 x 100.0 MHz [Locked]"
"Límites del relación turbo:","31x (1-4c)"
"CPU actual:","3093.4 MHz = 31 x 99.8 MHz @ 1.1659 V"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v2.0"
"Velocidad máxima de enlace DMI:","5.0 GT/s"
"Velocidad actual del enlace DMI:","5.0 GT/s"
"Caché L1:","Instruction: 2 x 32 KBytes, Data: 2 x 32 KBytes"
"Caché L2:","Integrated: 2 x 256 KBytes"
"Caché L3:","3 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","No presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","Presente"
"Fused Multiply Add (FMA)","No presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
"MOVBE Instruction","No presente"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","No presente"
"AES Cryptography Support","No presente"
"Random Number Read Instruction (RDRAND)","No presente"
"Extended xAPIC","No presente"
"MONITOR/MWAIT Support","Presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","Presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","No presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","No presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","No presente"
"Bit Manipulation Instructions Set 2","No presente"
"Advanced Vector Extensions 2 (AVX2)","No presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","No presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","No presente"
"Supervisor Mode Access Prevention (SMAP)","No presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","No presente"
"Read/Write FS/GS Base Instructions","No presente"
"Enhanced Performance String Instruction","No presente"
"INVPCID Instruction","No presente"
"RDSEED Instruction","No presente"
"Multi-precision Add Carry Instructions (ADX)","No presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","No presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","No presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","No presente"
"Intel Processor Trace","No presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"OS Bus-Lock Detection","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","Presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","Presente"
"IA32_ARCH_CAPABILITIES MSR","No presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","Presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"SHA512 Instructions","No presente"
"SM3 Instructions","No presente"
"SM4 Instructions","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","Presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","No soportado"
"Programmable Ratio Limits:","No soportado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","No soportado"
"Intel Speed Select:","No soportado"
"Internal Graphics:","Soportado"
"2 DIMMS per Channel:","No soportado"
"VT-d:","No soportado"
"ECC:","No soportado"
"DDR3 Frequency Support:","667 MHz (DDR3-1333)"
"Tamaño máximo de dirección física:","36-bit (64 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-100000000 (0MB-4096MB) Type:","Write Back (WB)"
