
DESKTOP-KG2H053

"Nombre del computadora:","DESKTOP-KG2H053"
"Descripción de computadora:","vacunacioncalera1"
"Nombre de marca de computadora:","HP HP ProDesk 400 G5 SFF"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.4170 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","Psicologia-Calera"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","6"
"Número de procesadores lógicos:","6"

Intel Core i5-8500

"Nombre del procesador:","Intel Core i5-8500"
"Frecuencia del procesador original:","3000.0 MHz"
"Original Processor Frequency [MHz]:","3000"
"CPU ID:","000906EA"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","U0"
"Nombre del código de la CPU:","Coffee Lake-S"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SR3XE"
"Potencia de diseño térmico de CPU (TDP):","65.0 W"
"CPU VR Thermal Design Current (TDC):","91.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 65.00 W, Hora = 28.00 sec [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 122.00 W, Hora = 2.44 ms [Desbloqueado]"
"Límite de potencia de la CPU 4 (PL4):","159.0 W"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H4 (LGA1151)"
"Revisión de actualización de microcódigo:","EC"
"Número de núcleos de CPU:","6"
"Número de CPU lógicas:","6"
"CPU LFM (mínimo):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (base):","3000.0 MHz = 30 x 100.0 MHz"
"CPU Turbo Max:","4100.0 MHz = 41 x 100.0 MHz [Unlocked]"
"Límites del relación turbo - IA/SSE:","41x (1c), 40x (2-4c), 39x (5-6c)"
"Límites del relación turbo - AVX2, Resultante:","41x (1c), 40x (2-4c), 39x (5-6c)"
"Límites máximos de relación por núcleo (fusionados):","41, 41, 41, 41, 41, 41"
"Límites máximos de relación por núcleo (actual):","255, 255, 255, 255, 255, 255"
"CPU actual:","3989.2 MHz = 40 x 99.7 MHz @ 1.1356 V"
"LLC / Ring máximo:","3800.0 MHz = 38.00 x 100.0 MHz"
"LLC / Ring actual:","3690.0 MHz = 37.00 x 99.7 MHz"
"System Agent actual:","997.3 MHz = 10.00 x 99.7 MHz"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v3.0"
"Velocidad máxima de enlace DMI:","8.0 GT/s"
"Velocidad actual del enlace DMI:","8.0 GT/s"
"Ring to Core Offset:","Activado"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","41x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","133.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","22x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","45.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","38x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","133.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","22x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","45.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","20.00 A"
"IA Domain Loadline (AC/DC):","2.170 / 2.100 mOhm"
"GT Domain Loadline (AC/DC):","3.110 / 3.110 mOhm"
"Caché L1:","Instruction: 6 x 32 KBytes, Data: 6 x 32 KBytes"
"Caché L2:","Integrated: 6 x 256 KBytes"
"Caché L3:","9 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","Presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","Presente"
"Fused Multiply Add (FMA)","Presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
