
FACTURACION3

"Nombre del computadora:","FACTURACION3"
"Nombre de marca de computadora:","LENOVO F0CL006ULD"
"Sistema operativo:","Microsoft Windows 10 Home Single Language (x64) Build 19045.4170 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","Facturacion Calera 3"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","4"

Intel Pentium J4205

"Nombre del procesador:","Intel Pentium J4205"
"Frecuencia del procesador original:","1500.0 MHz"
"Original Processor Frequency [MHz]:","1500"
"CPU ID:","000506C9"
"Nombre de la marca de la CPU:","Intel(R) Pentium(R) CPU J4205 @ 1.50GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","B0/B1"
"Nombre del código de la CPU:","Apollo Lake"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SR2YE/SR2ZA"
"Potencia de diseño térmico de CPU (TDP):","10.0 W"
"Corriente de diseño térmico de CPU (TDC):","21.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 10.00 W, Hora = 8.00 sec [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 25.00 W, Hora = Ilimitado [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","105 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","BGA1296"
"Revisión de actualización de microcódigo:","32"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","4"
"CPU MFM (bajo consumo):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (mínimo):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (base):","1500.0 MHz = 15 x 100.0 MHz"
"CPU Turbo Max:","2600.0 MHz = 26 x 100.0 MHz [Unlocked]"
"CPU actual:","1400.1 MHz = 14 x 100.0 MHz @ 0.9800 V"
"Uncore actual:","533.3 MHz = 32.00 x 16.7 MHz"
"Caché L1:","Instruction: 4 x 32 KBytes, Data: 4 x 24 KBytes"
"Caché L2:","Integrated: 2 x 1 MBytes"
"Instruction TLB:","4-KB Pages, Fully associative, 48 entries"
"Data TLB:","4-KB Pages, 4-way associative, 512 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","No presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","No presente"
"Fused Multiply Add (FMA)","No presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
"MOVBE Instruction","Presente"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","No presente"
"AES Cryptography Support","Presente"
"Random Number Read Instruction (RDRAND)","Presente"
"Extended xAPIC","Presente"
"MONITOR/MWAIT Support","No presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","No presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","Presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","Presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","No presente"
"Bit Manipulation Instructions Set 2","No presente"
"Advanced Vector Extensions 2 (AVX2)","No presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","Presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","Presente"
"Supervisor Mode Access Prevention (SMAP)","Presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","Presente"
"Read/Write FS/GS Base Instructions","Presente"
"Enhanced Performance String Instruction","Presente"
"INVPCID Instruction","No presente"
"RDSEED Instruction","Presente"
"Multi-precision Add Carry Instructions (ADX)","No presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","Presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","Presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","Presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","Presente"
"Intel Processor Trace","Presente"
