
FISIOTERAPIA-CA

"Nombre del computadora:","FISIOTERAPIA-CA"
"Descripción de computadora:","FISIOTERAPIA-CALERA"
"Nombre de marca de computadora:","ECS H81H3-M4"
"Sistema operativo:","Microsoft Windows 10 Professional N (x64) Build 19045.4170 (22H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Deshabilitado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","fisioterapiacalera"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","4"

Intel Core i5-4460

"Nombre del procesador:","Intel Core i5-4460"
"Frecuencia del procesador original:","3200.0 MHz"
"Original Processor Frequency [MHz]:","3200"
"CPU ID:","000306C3"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","C0"
"Nombre del código de la CPU:","Haswell-DT Refresh"
"Tecnología de CPU:","22 nm"
"CPU S-Spec:","SR1QK"
"Potencia de diseño térmico de CPU (TDP):","84.0 W"
"Corriente de diseño térmico de CPU (TDC):","400.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):","Poder = 1760.00 W, Hora = 8.00 sec [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 2000.00 W, Hora = 2.44 ms [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H3 (LGA1150)"
"Revisión de actualización de microcódigo:","27"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","4"
"CPU LFM (mínimo):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (base):","3200.0 MHz = 32 x 100.0 MHz"
"CPU Turbo Max:","3400.0 MHz = 34 x 100.0 MHz [Unlocked]"
"Límites del relación turbo:","34x (1-2c), 33x (3c), 32x (4c)"
"CPU actual:","1297.0 MHz = 13 x 99.8 MHz @ 0.8580 V"
"LLC / Ring máximo:","3400.0 MHz = 34.00 x 100.0 MHz"
"LLC / Ring actual:","1297.0 MHz = 13.00 x 99.8 MHz"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v2.0"
"Velocidad máxima de enlace DMI:","5.0 GT/s"
"Velocidad actual del enlace DMI:","5.0 GT/s"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","34x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","Soportado"
"Límite de relación de fusión:","57x"
"Límite de relación OC:","22x"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","34x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Adaptado"
"Compensación de voltaje:","0 mV"
"Caché L1:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"Caché L2:","Integrated: 4 x 256 KBytes"
"Caché L3:","6 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","No presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","Presente"
"Fused Multiply Add (FMA)","Presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
"MOVBE Instruction","Presente"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","Presente"
"AES Cryptography Support","Presente"
"Random Number Read Instruction (RDRAND)","Presente"
"Extended xAPIC","Presente"
"MONITOR/MWAIT Support","Presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","Presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","Presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","Presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","Presente"
"Bit Manipulation Instructions Set 2","Presente"
"Advanced Vector Extensions 2 (AVX2)","Presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
