
VACUNACIONCALER

"Nombre del computadora:","VACUNACIONCALER"
"Descripción de computadora:","VACUNACION-CALERA"
"Nombre de marca de computadora:","HP HP 200 G4 22 All-in-One PC"
"Sistema operativo:","Microsoft Windows 11 Professional (x64) Build 22631.3296 (23H2)"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","Sistemas"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","8"

Intel Core i5-10210U

"Nombre del procesador:","Intel Core i5-10210U"
"Frecuencia del procesador original:","2100.0 MHz"
"Original Processor Frequency [MHz]:","2100"
"CPU ID:","000806EC"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","V0"
"Nombre del código de la CPU:","Comet Lake-U v1 LP3"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SRGKY, SRGKZ, SRH7M, SRH8B"
"Potencia de diseño térmico de CPU (TDP):","15.0 W"
"CPU VR Thermal Design Current (TDC):","48.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):"," (25.00 W) (28.00 sec) [Desbloqueado]"
"Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):"," (30.00 W) (2.44 ms) [Desbloqueado]"
"Límite de potencia de la CPU 4 (PL4):","82.0 W"
"Nivel 1 de TDP configurable (abajo):","10.00 W (Alcance ilimitado), 800 MHz"
"Nivel 2 de TDP configurable (arriba):","25.00 W (Alcance ilimitado), 2100 MHz"
"Nivel de TDP configurable actual:","Nominal (Legacy) [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","BGA1528"
"Revisión de actualización de microcódigo:","EA"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","8"
"CPU MFM (bajo consumo):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (mínimo):","400.0 MHz = 4 x 100.0 MHz"
